genome_id	genus	species	original_status_I30	risk_category_curated	action	A1_risk	A2_risk	A3_risk	A4_risk	curation_note
Prob347_Bacillus_velezensis_K1	Bacillus	Bacillus velezensis	Safety-review	recoverable_taxon_prior_or_fermentation_niche_release	release_to_priority_if_no_non_overrideable_risk	0.0227272727272727	0.0	0.359090909090909	0.1989510489510489	Risk categories are expert-review aids. Only release-table rows alter status.
Prob357_Corynebacterium_amycolatum_ICIS82	Corynebacterium	Corynebacterium amycolatum	Safety-review	true_safety_review_opportunistic_taxon	retain_current_non_priority	0.0	0.0	0.1454545454545454	0.2269230769230769	Risk categories are expert-review aids. Only release-table rows alter status.
Prob378_Enterococcus_faecalis_ES13	Enterococcus	Enterococcus faecalis	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.2045454545454545	0.0974025974025974	0.2318181818181818	0.316958041958042	Risk categories are expert-review aids. Only release-table rows alter status.
Prob390_Enterococcus_faecalis_ES11	Enterococcus	Enterococcus faecalis	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.3863636363636363	0.1883116883116883	0.3958181818181818	0.6947552447552449	Risk categories are expert-review aids. Only release-table rows alter status.
Prob3_Escherichia_coli_TG1	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9545454545454546	0.4545454545454545	0.5821818181818181	0.4942307692307692	Risk categories are expert-review aids. Only release-table rows alter status.
Prob401_Pseudomonas_aeruginosa_13	Pseudomonas	Pseudomonas aeruginosa	Risk-profile-rejected	true_rejected_or_benchmark_label_contestable	retain_current_non_priority	1.0	1.0	0.7181818181818183	0.2288461538461538	Risk categories are expert-review aids. Only release-table rows alter status.
Prob407_Pseudomonas_aeruginosa_3	Pseudomonas	Pseudomonas aeruginosa	Risk-profile-rejected	true_rejected_or_benchmark_label_contestable	retain_current_non_priority	1.0	1.0	0.6772727272727272	0.248076923076923	Risk categories are expert-review aids. Only release-table rows alter status.
Prob408_Pseudomonas_aeruginosa_5	Pseudomonas	Pseudomonas aeruginosa	Risk-profile-rejected	true_rejected_or_benchmark_label_contestable	retain_current_non_priority	1.0	1.0	0.7181818181818183	0.2942307692307692	Risk categories are expert-review aids. Only release-table rows alter status.
Prob409_Pseudomonas_aeruginosa_8	Pseudomonas	Pseudomonas aeruginosa	Risk-profile-rejected	true_rejected_or_benchmark_label_contestable	retain_current_non_priority	1.0	1.0	0.5545454545454545	0.248076923076923	Risk categories are expert-review aids. Only release-table rows alter status.
Prob410_Pseudomonas_aeruginosa_15	Pseudomonas	Pseudomonas aeruginosa	Risk-profile-rejected	true_rejected_or_benchmark_label_contestable	retain_current_non_priority	1.0	1.0	0.7181818181818183	0.4423076923076923	Risk categories are expert-review aids. Only release-table rows alter status.
Prob412_Pseudomonas_aeruginosa_26	Pseudomonas	Pseudomonas aeruginosa	Risk-profile-rejected	true_rejected_or_benchmark_label_contestable	retain_current_non_priority	1.0	1.0	0.7181818181818183	0.4143356643356644	Risk categories are expert-review aids. Only release-table rows alter status.
Prob415_Enterococcus_durans_OSY-EGY	Enterococcus	Enterococcus durans	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.0227272727272727	0.0064935064935064	0.3321818181818181	0.4129370629370629	Risk categories are expert-review aids. Only release-table rows alter status.
Prob423_Pseudomonas_aeruginosa_6	Pseudomonas	Pseudomonas aeruginosa	Risk-profile-rejected	true_rejected_or_benchmark_label_contestable	retain_current_non_priority	1.0	1.0	0.7181818181818183	0.2153846153846154	Risk categories are expert-review aids. Only release-table rows alter status.
Prob430_Enterococcus_faecalis_A11	Enterococcus	Enterococcus faecalis	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.3636363636363636	0.1103896103896103	0.2318181818181818	0.4157342657342657	Risk categories are expert-review aids. Only release-table rows alter status.
Prob433_Enterococcus_durans_S50	Enterococcus	Enterococcus durans	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.0227272727272727	0.0	0.1363636363636363	0.3332167832167832	Risk categories are expert-review aids. Only release-table rows alter status.
Prob436_Bacillus_velezensis_JT3-1	Bacillus	Bacillus velezensis	Safety-review	recoverable_taxon_prior_or_fermentation_niche_release	release_to_priority_if_no_non_overrideable_risk	0.0227272727272727	0.0	0.2954545454545454	0.1653846153846153	Risk categories are expert-review aids. Only release-table rows alter status.
Prob48_Enterococcus_durans_EP2	Enterococcus	Enterococcus durans	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.0227272727272727	0.0	0.1363636363636363	0.1807692307692307	Risk categories are expert-review aids. Only release-table rows alter status.
Prob499_Escherichia_coli_ECOR12	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9545454545454546	0.5909090909090909	0.6549090909090909	0.6174825174825176	Risk categories are expert-review aids. Only release-table rows alter status.
Prob4_Escherichia_coli_C25	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	1.0	0.7594545454545455	0.820979020979021	Risk categories are expert-review aids. Only release-table rows alter status.
